name	sex	n
Afrida	pojkar	NA
Afrodite	flickor	NA
Afrodite	pojkar	NA
Afroditi	flickor	NA
Afroditi	pojkar	NA
Afshin	flickor	NA
Afshin	pojkar	NA
Agam	flickor	NA
Agam	pojkar	NA
Agastya	flickor	NA
Agastya	pojkar	3
Agata	flickor	5
Agata	pojkar	NA
Agathon	flickor	NA
Agathon	pojkar	NA
Agaton	flickor	NA
Agaton	pojkar	7
Agda	flickor	NA
Agda	pojkar	NA
Aggeliki	flickor	NA
Aggeliki	pojkar	NA
Aggelos	flickor	NA
Aggelos	pojkar	NA
Agi	flickor	NA
Agi	pojkar	NA
Agim	flickor	NA
Agim	pojkar	2
Agit	flickor	NA
Agit	pojkar	NA
Agnar	flickor	NA
Agnar	pojkar	2
Agne	flickor	NA
Agne	pojkar	7
Agnes	flickor	471
Agnes	pojkar	NA
Agnès	flickor	NA
Agnès	pojkar	NA
Agnes Cecilia	flickor	NA
Agnes Cecilia	pojkar	NA
Agnesa	flickor	2
Agnesa	pojkar	NA
Agnes-Cecilia	flickor	NA
Agnes-Cecilia	pojkar	NA
Agneta	flickor	NA
Agneta	pojkar	NA
Agnez	flickor	NA
Agnez	pojkar	NA
Agon	flickor	NA
Agon	pojkar	3
Agota	flickor	2
Agota	pojkar	NA
Agri	flickor	NA
Agri	pojkar	NA
Agrin	flickor	NA
Agrin	pojkar	3
Agron	flickor	NA
Agron	pojkar	NA
Agust	flickor	NA
Agust	pojkar	15
Ágúst	flickor	NA
Ágúst	pojkar	2
Agustina	flickor	NA
Agustina	pojkar	NA
Ahaan	flickor	NA
Ahaan	pojkar	NA
Ahad	flickor	NA
Ahad	pojkar	4
Ahamed	flickor	NA
Ahamed	pojkar	NA
Ahana	flickor	NA
Ahana	pojkar	NA
Ahed	flickor	NA
Ahed	pojkar	NA
Ahgnes	flickor	NA
Ahgnes	pojkar	NA
Ahil	flickor	NA
Ahil	pojkar	2
Ahin	flickor	NA
Ahin	pojkar	NA
Ahlaam	flickor	NA
Ahlaam	pojkar	NA
Ahlam	flickor	3
Ahlam	pojkar	NA
Ahlan	flickor	NA
Ahlan	pojkar	NA
Ahmad	flickor	NA
Ahmad	pojkar	52
Ahmed	flickor	NA
Ahmed	pojkar	52
Ahmed-Nuur	flickor	NA
Ahmed-Nuur	pojkar	NA
Ahmet	flickor	NA
Ahmet	pojkar	3
Ahmmad	flickor	NA
Ahmmad	pojkar	NA
Ahsan	flickor	NA
Ahsan	pojkar	2
Ahsen	flickor	NA
Ahsen	pojkar	NA
Ahyan	flickor	NA
Ahyan	pojkar	NA
Ahzab	flickor	NA
Ahzab	pojkar	NA
Aia	flickor	NA
Aia	pojkar	NA
Aiat	flickor	NA
Aiat	pojkar	NA
Aicha	flickor	3
Aicha	pojkar	NA
Aïcha	flickor	NA
Aïcha	pojkar	NA
Aid	flickor	NA
Aid	pojkar	NA
Aida	flickor	16
Aida	pojkar	NA
Aïda	flickor	NA
Aïda	pojkar	NA
Aidah	flickor	NA
Aidah	pojkar	NA
Aidan	flickor	NA
Aidan	pojkar	5
Aiden	flickor	NA
Aiden	pojkar	33
Aidin	flickor	NA
Aidin	pojkar	2
Aie	flickor	NA
Aie	pojkar	NA
Aiham	flickor	NA
Aiham	pojkar	NA
Aija	flickor	NA
Aija	pojkar	NA
Aikaterini	flickor	NA
Aikaterini	pojkar	NA
Aiko	flickor	NA
Aiko	pojkar	NA
Aila	flickor	22
Aila	pojkar	NA
Ailan	flickor	NA
Ailan	pojkar	2
Áile	flickor	NA
Áile	pojkar	NA
Aileen	flickor	3
Aileen	pojkar	NA
Aili	flickor	6
Aili	pojkar	NA
Ailie	flickor	NA
Ailie	pojkar	NA
Ailin	flickor	4
Ailin	pojkar	NA
Ailis	flickor	NA
Ailis	pojkar	NA
Ailo	flickor	NA
Ailo	pojkar	5
Ailu	flickor	NA
Ailu	pojkar	NA
Ailyn	flickor	NA
Ailyn	pojkar	NA
Aima	flickor	2
Aima	pojkar	NA
Aiman	flickor	NA
Aiman	pojkar	NA
Aimar	flickor	NA
Aimar	pojkar	2
Aimee	flickor	3
Aimee	pojkar	NA
Aimée	flickor	2
Aimée	pojkar	NA
Aimen	flickor	NA
Aimen	pojkar	2
Aimi	flickor	NA
Aimi	pojkar	NA
Aimie	flickor	NA
Aimie	pojkar	NA
Aimo	flickor	NA
Aimo	pojkar	NA
Aina	flickor	9
Aina	pojkar	NA
Ainhoa	flickor	NA
Ainhoa	pojkar	NA
Aini	flickor	NA
Aini	pojkar	NA
Aino	flickor	5
Aino	pojkar	NA
Ainoa	flickor	NA
Ainoa	pojkar	NA
Aira	flickor	2
Aira	pojkar	NA
Airi	flickor	NA
Airi	pojkar	NA
Aisa	flickor	3
Aisa	pojkar	NA
Aischa	flickor	NA
Aischa	pojkar	NA
Aisel	flickor	NA
Aisel	pojkar	NA
Aisha	flickor	82
Aisha	pojkar	NA
Aishah	flickor	3
Aishah	pojkar	NA
Aishatou	flickor	NA
Aishatou	pojkar	NA
Aisho	flickor	NA
Aisho	pojkar	NA
Aitana	flickor	NA
Aitana	pojkar	NA
Aitor	flickor	NA
Aitor	pojkar	NA
Aiva	flickor	NA
Aiva	pojkar	NA
Aiven	flickor	NA
Aiven	pojkar	NA
Aivy	flickor	3
Aivy	pojkar	NA
Aiyana	flickor	2
Aiyana	pojkar	NA
Aiyla	flickor	NA
Aiyla	pojkar	NA
Aiza	flickor	4
Aiza	pojkar	NA
Aizah	flickor	NA
Aizah	pojkar	NA
Aja	flickor	NA
Aja	pojkar	NA
Ajan	flickor	NA
Ajan	pojkar	7
Ajana	flickor	NA
Ajana	pojkar	NA
Ajat	flickor	NA
Ajat	pojkar	NA
Ajdin	flickor	NA
Ajdin	pojkar	10
Aje	flickor	NA
Aje	pojkar	NA
Aji	flickor	NA
Aji	pojkar	NA
Aji Fatou	flickor	NA
Aji Fatou	pojkar	NA
Ajin	flickor	NA
Ajin	pojkar	NA
Ajla	flickor	7
Ajla	pojkar	NA
Ajlan	flickor	NA
Ajlan	pojkar	NA
Ajlin	flickor	4
Ajlin	pojkar	NA
Ajlina	flickor	NA
Ajlina	pojkar	NA
Ajna	flickor	4
Ajna	pojkar	NA
Ajnur	flickor	NA
Ajnur	pojkar	NA
Ajsa	flickor	NA
Ajsa	pojkar	NA
Ajsha	flickor	NA
Ajsha	pojkar	NA
Ajshe	flickor	NA
Ajshe	pojkar	NA
Ajub	flickor	NA
Ajub	pojkar	NA
Ajus	flickor	NA
Ajus	pojkar	NA
Ajwa	flickor	NA
Ajwa	pojkar	NA
Akam	flickor	NA
Akam	pojkar	2
Akar	flickor	NA
Akar	pojkar	NA
Akari	flickor	NA
Akari	pojkar	NA
Akash	flickor	NA
Akash	pojkar	NA
Akay	flickor	NA
Akay	pojkar	NA
Akhil	flickor	NA
Akhil	pojkar	NA
Aki	flickor	NA
Aki	pojkar	2
Akif	flickor	NA
Akif	pojkar	NA
Akil	flickor	NA
Akil	pojkar	8
Akilles	flickor	NA
Akilles	pojkar	5
Akim	flickor	NA
Akim	pojkar	NA
Akin	flickor	NA
Akin	pojkar	4
Akira	flickor	2
Akira	pojkar	NA
Akis	flickor	NA
Akis	pojkar	NA
Akleja	flickor	NA
Akleja	pojkar	NA
Ako	flickor	NA
Ako	pojkar	NA
Ákos	flickor	NA
Ákos	pojkar	NA
Akram	flickor	NA
Akram	pojkar	26
Akrem	flickor	NA
Akrem	pojkar	NA
Aksel	flickor	NA
Aksel	pojkar	12
Akseli	flickor	NA
Akseli	pojkar	NA
Akshant	flickor	NA
Akshant	pojkar	2
Akshara	flickor	NA
Akshara	pojkar	NA
Akshaya	flickor	NA
Akshaya	pojkar	NA
Al	flickor	NA
Al	pojkar	NA
Ala	flickor	NA
Ala	pojkar	NA
Alaa	flickor	9
Alaa	pojkar	3
Aladdin	flickor	NA
Aladdin	pojkar	NA
Aladin	flickor	NA
Aladin	pojkar	NA
Alagie	flickor	NA
Alagie	pojkar	NA
Alaia	flickor	NA
Alaia	pojkar	NA
Alain	flickor	NA
Alain	pojkar	NA
Alaina	flickor	NA
Alaina	pojkar	NA
Alan	flickor	NA
Alan	pojkar	25
Alana	flickor	3
Alana	pojkar	NA
Aland	flickor	NA
Aland	pojkar	3
Alara	flickor	3
Alara	pojkar	NA
Alarik	flickor	NA
Alarik	pojkar	2
Alaya	flickor	6
Alaya	pojkar	NA
Alayna	flickor	NA
Alayna	pojkar	NA
Alaz	flickor	NA
Alaz	pojkar	NA
Alazar	flickor	NA
Alazar	pojkar	2
Alba	flickor	247
Alba	pojkar	NA
Alban	flickor	NA
Alban	pojkar	NA
Albana	flickor	NA
Albana	pojkar	NA
Albaraa	flickor	NA
Albaraa	pojkar	NA
Alber	flickor	NA
Alber	pojkar	NA
Alberina	flickor	NA
Alberina	pojkar	NA
Albert	flickor	NA
Albert	pojkar	91
Alberte	flickor	NA
Alberte	pojkar	NA
Albertina	flickor	NA
Albertina	pojkar	NA
Alberto	flickor	NA
Alberto	pojkar	NA
Alberts	flickor	NA
Alberts	pojkar	2
Albi	flickor	NA
Albi	pojkar	NA
Albie	flickor	NA
Albie	pojkar	NA
Albin	flickor	NA
Albin	pojkar	304
Albina	flickor	NA
Albina	pojkar	NA
